[2018-09-25T20:44:09.270] [INFO] default - [::1 GET / 200 26ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:09.280] [INFO] default - [::1 GET /css/style.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:09.281] [INFO] default - [::1 GET /js/jquery.min.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:09.281] [INFO] default - [::1 GET /js/index.js 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:09.285] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:09.783] [INFO] default - [::1 GET /favicon.ico 404 11ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.401] [INFO] default - [::1 POST /Login 200 1023ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.455] [INFO] default - [::1 GET / 200 42ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.472] [INFO] default - [::1 GET /layui/css/layui.css 304 7ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.472] [INFO] default - [::1 GET /ydui/css/ydui.css 304 6ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.474] [INFO] default - [::1 GET /ydui/js/ydui.flexible.js 304 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.482] [INFO] default - [::1 GET /jquery-weui/dist/lib/weui.min.css 304 12ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.482] [INFO] default - [::1 GET /css/order.css 304 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.483] [INFO] default - [::1 GET /layui/layui.js 304 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.483] [INFO] default - [::1 GET /jquery/jquery.min.js 304 4ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.484] [INFO] default - [::1 GET /jquery-weui/dist/js/jquery-weui.min.js 304 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.487] [INFO] default - [::1 GET /javascript/function.js 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.525] [INFO] default - [::1 GET /layui/lay/modules/layer.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.531] [INFO] default - [::1 GET /layui/css/modules/layer/default/layer.css?v=3.1.1 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.531] [INFO] default - [::1 GET /layui/lay/modules/form.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.544] [INFO] default - [::1 GET /layui/css/modules/layer/default/loading-2.gif 304 3ms][http://localhost:3000/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.556] [INFO] default - [::1 GET /javascript/index1.js?_=1537879453510 200 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.565] [INFO] default - [::1 GET /javascript/order.js?_=1537879453511 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.570] [INFO] default - [::1 GET /javascript/sales.js?_=1537879453512 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.578] [INFO] default - [::1 GET /javascript/pullSignal.js?_=1537879453513 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.583] [INFO] default - [::1 GET /javascript/addApplicationGoods.js?_=1537879453514 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.591] [INFO] default - [::1 GET /javascript/addReturnRequest.js?_=1537879453515 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.597] [INFO] default - [::1 GET /javascript/requireGoodsList.js?_=1537879453516 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.604] [INFO] default - [::1 GET /javascript/tuihuo_requireGoodsList.js?_=1537879453517 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.613] [INFO] default - [::1 GET /javascript/saleslist.js?_=1537879453518 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.623] [INFO] default - [::1 GET /javascript/saleslist_goods.js?_=1537879453519 200 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.631] [INFO] default - [::1 GET /javascript/productList.js?_=1537879453520 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.643] [INFO] default - [::1 GET /javascript/selectCustomer.js?_=1537879453521 200 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.650] [INFO] default - [::1 GET /javascript/productDetail.js?_=1537879453522 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-25T20:44:13.657] [INFO] default - [::1 GET /javascript/tuihuo_productList.js?_=1537879453523 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
